,ID,Question,Answer,Vote Status,Timestamp
0,1,H-1B to EB-2 process . I would like to know If I have an advanced Degree (Masters Engineering Management) and my employer filed my H-1B and if the lottery is picked can I initiate the Green Card Process? I also heard that there is a Minimum salary Cap for EB-2 Advanced degree.,"The employer can start the green card process at any time, even before you join. To see the salary figures by county and profession, you can review this link -https://www.flcdatacenter.com/",up,N/A
1,2,Eligibility for and the process of EB-3 to EB-2 Porting . Can you talk about this upgrade process from EB3 to EB2 for pending I-485? Does it need another I-485 application or just a letter to USCIS?,You can always go up and you can always go down as long as your PERM was filed as an EB-2. If you filed your PRM as an EB-3 then you're not going to be able to upgrade to EB-2. But if your PERM was filed as an EB-2 you can downgrade I-140 EB-3. You can go back upgrade toEB-2if you already have anEB-2approval. You can file a downgrade second case asEB-3with the samePERM.FAQ in detail...,up,N/A
2,3,"How can I qualify for EB-1C/International Managers or Executives . I was in USA on h1b for 11 yrs until august 2019 as senior software engineer and moved/transferred to Canada on September 2019 as software development manager, managing 5 direct reports plus 4 second level reports with the same company in USA and Canada. And now promoted as Director, software development projects support and maintenance, before completing one year as manager. Have I-140 approved and priority date is 2012 july.<br>1.What is my success rate of getting L1A<br>2. Also need to re-apply my green card in EB1C, do I need to be in USA or when I am in Canada my company can apply for this. And upon EB1C I-140 Approval can I get L1A and move to USA<br>3. Is this the correct time to apply EB1C in the next couple of months when 1 year completes or should I wait for visa ban to complete.",1. Please discuss your job description that is intended in the foreign country outside USA with your lawyers. Make sure you plan for it from day one because if you try to plan for it a year down the line you won't succeed.,up,N/A
3,4,Downgrading from EB-2 to EB-3 . My wife and I are currently on EAD's since Feb 2012 when the dates became current for our priority date and we were able to apply for the I-485. She is the primary applicant and I am the dependent on her application. Since 2012 the EAD/AP card is being renewed every 2 years. With the EB3 category now going ahead of EB2 does it make sense for her to downgrade to EB3 - Apply for I-140 under EB3. I believe it takes 6 months for approval so we would essentially be doing this preemptively in anticipation of our date becoming current under EB3 in 6+ months.,I see no problem applying for EB-3 and then using whichever one is faster when the time comes.More...,up,N/A
4,5,"How to get H-1B approved for three years, not shorter duration . 1. I got my H1b approved for a period of one year only and expires on Oct 27th, 2019. I work through a consultancy. Any precautions I can take in the future which can help me getting the H1b approved for 3 years in the upcoming H1B extension after Oct 27th, 2019. <br>2. Any particular documents needed for getting the H1b approved for 3 years?<br>3. If I go for stamping, do I need to be careful with social media at the port of entry? Any tips or recommendations you can give with reference to social media during port of entry? <br>4. My EB2 priority date is Feb 4th, 2015 and I'm planning to marry a girl who is a Nepal citizen and she's on OPT right now. Can I move my priority date to EB2 Nepal category after marriage? If yes, what would be my next steps - how soon can I file for I-485 interview?",1. Typically the only way you can get three year extension is if you can prove that the project will go on for three years.,up,N/A
5,6,Options to Stay in the USA After Expiration of H-1B . 1. I am currently in H1-B more than 10 years in the USA and I have approved I-140 priority date Mar 2011 - EB2. My current employment is getting over in 3 weeks. And my current H1-B and I-94 expires in mid-August 2019. My question is if I am not able to find another job within my H1-B and I-94 expires on Mid August 2019. What are the options available for me to legally stay in the USA after my H1-B and I-94 expires? I have own house. Is there an exceptional case we can file GC EAD? <br>2. Without a job how many days i can stay in USA before my I-94 expires using I-140?,1. I don't think you would get the tourist visa or tourist status but you can apply for it.,up,N/A
6,7,Downgrading a Case from EB-2 to EB-3 for Priority Date Advantage . I am with my current Employer since 2008. My GC is filled in EB2 with Aug-2010 Priority Date. Only I-140 is approved so far.<br>1) Can my employer file me under EB-3 concurrently without affecting my existing EB-2 filling?<br>2) If yes then what is the procedure for that? Do I have to do my labor and I-140 once again?,1. Your EB-2 does not get affected. You can file EB-3/I-140 and I believe you can file a I-485 also if your dates are current.,up,N/A
7,8,"EB-2 Approved - Applying for EB-3 . I applied for EB3 in 2011 and port to EB2, now EB3 dates are moving forward and if it reach to my priority date am I  still eligible for EB3 as I initially applied for or do I need to downgrade to EB3. Will there be any questions raised?",This is mostly a question of procedure and policy. The USCIS has been indicating that if you have only one I-140 approved under EB-2 but you want to file under EB-3 you have to file another I-140 using the copy of the same labor certification - perm application and get an EB-3 approval first.More...,up,N/A
8,9,"Not Worked for Green Card Sponsoring Company – – Fraud Implication for Naturalization/Citizenship . In Summary, <br>* I worked for the same Company from 2004 to 2014 (2004 - 2011 in US on H1B, and 2011-2014 in India)<br>* BUT, after Green card, I did not work for the Company in US.<br>* I don't have even a single paycheck from US Company after receiving GC.<br>* Since then, I have been working in a job with same job description that my GC was filed for.<br>* All other history is clean. I have two US born children, Always paid taxes on time, no legal cases.<br>I heard from reliable sources that under current circumstances, my case will be marked as fraud and there is a 99% chance that they will revoke my GC and deport me, as I didn't stay with the employer that sponsored my GC.<br>Questions<br>* Should I be really concerned?<br>* What are my options?<br>* I have the option of going back to the same employer now. Does that help?<br>* If my wife applies for Naturalization instead of me, is that going to be any different?","This is a difficult situation.  I would argue that this is fine because once you went and got the green card you took the job and you are just working for the company's operations outside the USA temporarily. So I think it's going to be a touch and go, but that is what I would argue. You definitely need to take a lawyer with you.More...",up,N/A
9,10,"How Can I Downgrade from EB-2 to EB-3 and Consequences . I have I-140 approved in EB2, priority date is 2010. When date become current for EB3, I want to downgrade from EB2 to EB3 (I know I have to only refile I-140 and I-485 concurrent).  What will happen if USCIS denied newly filed I-140 (EB3)? can I-485 also denied? If newly filed I-140 (EB3) denied, can I used my previously approved I-140 (EB2)?","If we have an EB-2 approved I-140 we apply for an EB-3 approval on the same form or you can file EB-3 I-140 and I-485 concurrently if the dates are current. If you file a I-485 that is prematurely filed when the priority date of EB-2 is not current, if EB-3 is denied on which basis you had filed the I-485 then the I-485 will also be denied. I would want your lawyers to review your case very carefully. Make sure that you don't have any other issues. If the second EB-3 filing gets denied it should not have any impact on the already approved I-140 unless the second filing reveals some problem with the case that was not addressed earlier.More...",up,N/A
